slug,term,group,text,ref,source,url
admt,ADMT (automated decision-making technology),United States,"Technology that makes or substantially assists decisions about consumers. Colorado's SB 26-189 and California's CPPA regulations both set duties from 1 January 2027: pre-use notices, explanations after adverse outcomes and human review in Colorado; notices and opt-out rights in California.",Colorado SB 26-189; California CPPA ADMT regulations,https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,https://getdutybound.com/glossary/#admt
ai-inventory,AI inventory (AI register),Practice,"A list of every AI system an organisation uses, with vendor, purpose, owner, data, users, jurisdictions and risk class. It is not a single article of the Act, but every obligation depends on it and Polish guidance names it first in what an inspector expects.",Practice; Polish inspection expectations summarised by KTZR,https://www.ktzr.pl/ustawa-o-systemach-sztucznej-inteligencji/,https://getdutybound.com/glossary/#ai-inventory
ai-literacy,AI literacy,EU AI Act,"The skills, knowledge and understanding that let providers, deployers and affected people use AI in an informed way and be aware of its opportunities, risks and possible harm. Article 4 requires providers and deployers to take measures, to their best extent, so that their staff have it. The Digital Omnibus clarified that no specific level has to be guaranteed.","EU AI Act, Article 3(56) and Article 4 as amended",https://artificialintelligenceact.eu/article/4/,https://getdutybound.com/glossary/#ai-literacy
ai-system,AI system,EU AI Act,"A machine-based system that works with some autonomy and infers from its input how to produce outputs such as predictions, content, recommendations or decisions that can influence physical or virtual environments. It may keep adapting after deployment. Almost every obligation in the Act starts with the question of whether you use one.","EU AI Act, Article 3(1)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#ai-system
annex-i,Annex I (AI in regulated products),EU AI Act,"AI that is part of products already covered by EU product law, such as machinery, medical devices and vehicles. The high-risk obligations for these systems were deferred to 2 August 2028.","EU AI Act, Annex I; deferral by Regulation (EU) 2026/1744",https://www.gibsondunn.com/eu-ai-act-omnibus-agreement-postponed-high-risk-deadlines-and-other-key-changes/,https://getdutybound.com/glossary/#annex-i
article-50,Article 50 (transparency obligations),EU AI Act,"The rules that apply since 2 August 2026 to AI that talks to people or produces content: chatbots must say they are AI unless obvious, generated audio, images, video and text must be marked as artificial in a machine-readable way, deepfakes and AI-written public-interest text must be disclosed, and people exposed to emotion recognition or biometric categorisation must be told. Disclosure is due at the latest at the first interaction.","EU AI Act, Article 50",https://artificialintelligenceact.eu/article/50/,https://getdutybound.com/glossary/#article-50
biometric-categorisation-system,Biometric categorisation system,EU AI Act,"An AI system that assigns people to categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for technical reasons. People exposed to it must be informed.","EU AI Act, Article 3(40) and Article 50(3)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#biometric-categorisation-system
deep-fake,Deep fake,EU AI Act,"AI-generated or manipulated image, audio or video that resembles existing people, objects, places, entities or events and would falsely appear authentic. Deployers must disclose deepfakes; for evidently artistic, satirical or fictional work the duty is lighter.","EU AI Act, Article 3(60) and Article 50(4)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#deep-fake
deployer,Deployer,EU AI Act,"The organisation that uses an AI system under its own authority, except for purely personal, non-professional use. A company that uses a vendor chatbot or a copilot is a deployer. Deployers carry the AI-literacy duty and some Article 50 duties.","EU AI Act, Article 3(4)",https://artificialintelligenceact.eu/article/3/,https://getdutybound.com/glossary/#deployer
digital-omnibus,Digital Omnibus on AI,EU AI Act,"Regulation (EU) 2026/1744, published on 24 July 2026 and in force since 27 July 2026. It deferred the high-risk obligations, softened the AI-literacy duty, and added a machine-readable marking duty for generative output from 2 December 2026. It did not defer Article 50.",Regulation (EU) 2026/1744,https://compliancehub.wiki/eu-digital-omnibus-ai-act-deadline-deferral-annex-iii-2027/,https://getdutybound.com/glossary/#digital-omnibus
