id,jurisdiction,law,title,date,status,applies_to,summary,evidence,source,source_label,url
us-ut-sb149,"US, Utah","Utah AI Policy Act (SB 149, narrowed 2025)",AI disclosure duties in Utah,2024-05-01,in-force,"Businesses using generative AI with Utah consumers, with stricter duties in regulated professions",Disclose the use of generative AI on request in consumer interactions and proactively in regulated professions.,"Disclosure texts, script for staff answering 'am I talking to AI?'.",https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ut-sb149/
eu-art4-literacy,EU,EU AI Act (Reg. 2024/1689),"AI literacy duty, Article 4",2025-02-02,in-force,Providers and deployers of AI systems,"Take measures, to your best extent, so that staff and others operating AI on your behalf have sufficient AI literacy. The Digital Omnibus (July 2026) clarified that no specific level must be guaranteed. The duty itself was kept.","Training register, training programme, validation of learning outcomes, written AI usage rules.",https://artificialintelligenceact.eu/article/4/,"EU AI Act explorer, Article 4",https://getdutybound.com/deadlines/eu-art4-literacy/
eu-gpai,EU,EU AI Act (Reg. 2024/1689),General-purpose AI model obligations,2025-08-02,in-force,Providers of general-purpose AI models only,"Technical documentation, copyright policy and a training-data summary for model providers, with extra duties for models with systemic risk. Companies that only use AI tools are not in scope.",Not applicable to deployers.,https://compliancehub.wiki/eu-digital-omnibus-ai-act-deadline-deferral-annex-iii-2027/,"ComplianceHub, obligations after the Omnibus",https://getdutybound.com/deadlines/eu-gpai/
us-ca-ab2013,"US, California",AB 2013 (training data transparency),Generative AI training-data documentation,2026-01-01,in-force,Developers of generative AI systems made available to Californians,Developers must publish documentation about the datasets used to train their generative AI.,Published training-data summary (developers only).,https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ca-ab2013/
us-tx-traiga,"US, Texas",Texas Responsible AI Governance Act (HB 149),TRAIGA in force,2026-01-01,in-force,Developers and deployers of AI in Texas; state agencies,"Bans intentional development or deployment of AI that incites self-harm or crime, AI-generated child sexual abuse material, non-consensual deepfake pornography and government social scoring. Rules for state-government AI.",Acceptable-use policy prohibiting the banned uses.,https://www.kslaw.com/news-and-insights/new-state-ai-laws-are-effective-on-january-1-2026-but-a-new-executive-order-signals-disruption,"King & Spalding, state AI laws effective 1 Jan 2026",https://getdutybound.com/deadlines/us-tx-traiga/
kr-act,South Korea,AI Basic Act,AI Basic Act in force,2026-01-22,in-force,Domestic and foreign AI developers and businesses using AI in products; foreign firms above revenue or user thresholds must appoint a Korean representative,"Generative AI providers must notify users that AI is used and label AI-generated content, with clear notice where generated audio, image or video is hard to tell from real. One-year grace period before administrative fines, except serious cases.","User notices and labels on generative outputs, domestic representative if thresholds met.",https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,"Cooley, Korea AI Basic Act overview",https://getdutybound.com/deadlines/kr-act/
us-ny-raise,"US, New York",RAISE Act (as amended 27 March 2026),Frontier-model developer duties,2026-03-27,in-force,Developers of frontier AI models only,"Transparency and reporting on training, deployment, safety protocols and incidents for frontier developers. Not relevant to companies that only use AI.",Not applicable to deployers.,https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ny-raise/
kr-high-impact,South Korea,AI Basic Act,High-impact AI obligations activated,2026-07-21,in-force,"Operators of high-impact AI (healthcare, energy, transport, hiring, biometric analysis and similar)","Impact assessment on fundamental rights before deployment, meaningful explanation of outcomes, human oversight, a user protection plan and documentation. Fines up to KRW 30 million for notification failures, missing representative or refusing inspection.","Impact assessment record, oversight design, user protection plan.",https://www.cooley.com/news/insight/2026/2026-01-27-south-koreas-ai-basic-act-overview-and-key-takeaways,"Cooley, Korea AI Basic Act overview",https://getdutybound.com/deadlines/kr-high-impact/
eu-art50,EU,EU AI Act (Reg. 2024/1689),"Transparency obligations, Article 50",2026-08-02,in-force,"Providers of AI that talks to people or generates content; deployers of emotion recognition, biometric categorisation, deepfakes and AI-written public-interest text","Chatbots must disclose they are AI unless obvious. Generated audio, image, video and text must be marked as artificial in a machine-readable way. Deepfakes and AI-generated public-interest text must be disclosed. Disclosure must be clear and given at the latest at first interaction. Not deferred by the Omnibus.","Disclosure texts in place, marking mechanism documented, transparency checklist completed per system.",https://artificialintelligenceact.eu/article/50/,"EU AI Act explorer, Article 50",https://getdutybound.com/deadlines/eu-art50/
us-ca-sb942,"US, California",SB 942 (AI Transparency Act),Provenance and detection tools for large generative AI providers,2026-08-02,in-force,"Providers of generative image, video or audio tools with more than 1 million monthly users","Offer AI detection tools, watermark options and disclosures for AI-generated content. Delayed from 1 January 2026 to 2 August 2026.",Provenance features and disclosure options (large providers only).,https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ca-sb942/
pl-act-main,Poland,Ustawa o systemach sztucznej inteligencji,"Polish AI Systems Act, main provisions in force",2026-08-11,in-force,Companies and public bodies operating in Poland,"National law implementing the EU AI Act. Creates KRiBSI (Komisja Rozwoju i Bezpieczeństwa Sztucznej Inteligencji) as supervisor, a binding individual-opinion procedure (150 PLN fee, 30 to 60 days) and a regulatory sandbox that is free for SMEs.","Register of AI systems, assigned roles, AI usage policy, vendor commitments.",https://www.ktzr.pl/ustawa-o-systemach-sztucznej-inteligencji/,"KTZR, Polish AI act summary",https://getdutybound.com/deadlines/pl-act-main/
pl-kribsi-enforcement,Poland,Ustawa o systemach sztucznej inteligencji,KRiBSI inspections and fines begin,2026-10-28,upcoming,Companies and public bodies operating in Poland,"KRiBSI may inspect on 7 days' notice, remotely by default, covering documentation, procedures, internal logs, cloud systems and contractor agreements, and may impose the AI Act fine tiers. For SMEs the cap is the lower of the fixed amount and the percentage of turnover.","Inspection protocol, named contact, document index, trade-secret marking.",https://www.ktzr.pl/ustawa-o-systemach-sztucznej-inteligencji/,"KTZR, Polish AI act summary",https://getdutybound.com/deadlines/pl-kribsi-enforcement/
eu-marking,EU,EU AI Act as amended by Reg. 2026/1744,Machine-readable marking of generative AI output,2026-12-02,upcoming,"Providers of generative AI systems and, in practice, companies publishing generated content","New obligation introduced by the Digital Omnibus: generated output must carry machine-readable marking. The same package bans generating non-consensual intimate imagery and child sexual abuse material, with penalties up to €35M or 7% of global turnover.",Marking mechanism in place for every generative system in the inventory.,https://compliancehub.wiki/eu-digital-omnibus-ai-act-deadline-deferral-annex-iii-2027/,"ComplianceHub, obligations after the Omnibus",https://getdutybound.com/deadlines/eu-marking/
us-ca-ab853,"US, California",AB 853,Provenance duties extend to large online platforms,2027-01-01,upcoming,Large online platforms (2027) and capture-device manufacturers (2028),Extends SB 942 obligations to platforms from 1 January 2027 and to capture devices from 1 January 2028.,Platform provenance handling (platforms only).,https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ca-ab853/
us-ca-admt,"US, California",CPPA automated decision-making regulations,ADMT significant-decision obligations,2027-01-01,upcoming,Businesses under the CCPA using automated decision-making for significant decisions about consumers,"Notices, opt-out and access rights around automated decisions with significant effects.","ADMT notice, opt-out process, risk assessment where required.",https://www.cooley.com/news/insight/2026/2026-04-24-state-ai-laws-where-are-they-now,"Cooley, state AI laws (April 2026)",https://getdutybound.com/deadlines/us-ca-admt/
